Start,End,Content,Speaker,Language,SessionID,Video,Slides
13:00,13:30,Reception,,TBD,,,
13:30,13:40,Opening,mopp,TBD,,,
13:50,14:20,???,???,TBD,???,,
,,Short break,,,,,
14:30,15:00,TBD,Λlisue,TBD,lambdalisue,,
15:00,15:30,Looking back at vim meetup（仮）,ゴリラ,TBD,skanehira,,
,,Short break,,,,,
15:30,16:00,言語密着型Vimプラグインの作り方,大倉雅史,English,okuramasafumi,,
16:00,16:30,(仮) 作ったプラグインの話,kuu,Japanese,kuuote,,
,,Short break,,,,,
16:40,17:10,TBD,aiya000,TBD,aiya000,,
17:20,17:30,Closing,mopp,TBD,,,
17:30,19:30,After party,,,,,
