order_number,name,comment,icon
27320566,heavenshell,"",true
27321051,msfukui,"",true
27321366,tsukkee,"",true
27324204,kawarimidoll,個人スポンサーです,true
27338391,発火大根,,true
27429203,yasu-n ,"",false
27454921,dictav,"",false
27474482,Kento Ogata,vim,false
27474482,Kento Ogata,vim,false
27555221,ysaito,ʕ ◔ϖ◔ʔ< happy VimConf2024,true
27566634,skudo,今年は現地参加できないので、個人スポンサーとして応援させてください！,true
27784541,たけてぃ,Emacs,true
27784664,conao3,"",true
27785101,micheam,"",true
27786790,K.Takata,"",true
27788371,kyoh86,"",true
27789484,mikoto2000,"",true
27789602,yoshitia,北九州市から投げ銭,true
27874342,takets,"",true
27935389,tokinasin,"",true
28167458,dohq,"",true
