Start,End,Content,Speaker,Language,Interp.,SessionID,Misc.,Video,Slides
09:30,10:00,Reception,,,no,,,,
10:00,10:10,Opening,mopp,English,,,,,
10:10,11:00,Keynote - TBD,TDB,TDB,,,,,
,,Short break,,,no,,,,
11:15,12:05,Keynote - TBD,TDB,TDB,,,,,
,,Lunch break,,,no,,,,
13:00,13:20,None,None,TDB,,,,,
13:20,13:35,None,None,TDB,,,,,
13:35,13:55,None,None,TDB,,,,,
,,Short break,,,no,,,,
14:10,14:25,None,None,TDB,,,,,
14:25,14:55,None,None,TDB,,,,,
14:55,15:10,None,None,TDB,,,,,
,,Short break,,,no,,,,
15:25,15:45,None,None,TDB,,,,,
15:45,16:00,None,None,TDB,,,,,
16:00,16:30,None,None,TDB,,,,,
16:30,17:15,Lightning Talks,,,,,,,
17:15,17:25,Closing,mopp,English,,,,,
17:30,19:30,After party,,,no,,,,
